# text = アワ子ワノトモケタミツハホ子クルアンテボウヘトクルヱアナキ子ニソロアンシリカタトヱアンクシユケライ子ブヱ子ヽヤツカイキヘトグルヱ子ナ子アビヤヱカトフシノヱキブ子クシユアチヤ子ワボウウカトコロルヱタバン
1	アワ	awa	CCONJ	接続詞	_	12	cc	_	SpaceAfter=No
2	子	ne	DET	連体詞	_	4	obl	_	SpaceAfter=No
3	ワノ	wano	ADP	格助詞	_	2	case	_	SpaceAfter=No
4	トモケ	tumu-ke	VERB	自動詞	_	12	advcl	_	SpaceAfter=No
5	タ	ta	ADP	格助詞	_	4	mark	_	SpaceAfter=No
6	ミツ	mici	NOUN	名詞	_	9	acl	_	SpaceAfter=No
7	ハホ	hápo	NOUN	名詞	_	6	conj	_	SpaceAfter=No
8	子	ne	AUX	デアル動詞	_	6	cop	_	SpaceAfter=No
9	クル	kur	NOUN	名詞	_	10	nsubj	_	SpaceAfter=No
10	アンテ	ante	VERB	他動詞	_	11	acl	_	SpaceAfter=No
11	ボウ	po	NOUN	名詞	_	12	nsubj	_	SpaceAfter=No
12	ヘトク	hetuku	VERB	自動詞	_	13	acl	_	SpaceAfter=No
13	ルヱ	ruwe	NOUN	形式名詞	_	44	nsubj	_	SpaceAfter=No
14	アナキ子	anakne	ADP	副助詞	_	13	case	_	SpaceAfter=No
15	ニソロ	nisor	NOUN	名詞	_	16	nsubj	_	SpaceAfter=No
16	アン	an	VERB	自動詞	_	17	acl	_	SpaceAfter=No
17	シリカ	sirka	NOUN	位置名詞	_	20	obl	_	SpaceAfter=No
18	タ	ta	ADP	格助詞	_	17	case	_	SpaceAfter=No
19	トヱ	toy	NOUN	名詞	_	20	nsubj	_	SpaceAfter=No
20	アン	an	VERB	自動詞	_	27	advcl	_	SpaceAfter=No
21	クシユ	kusu	SCONJ	接続助詞	_	20	mark	_	SpaceAfter=No
22	ケライ	keray	ADV	副詞	_	23	amod	_	SpaceAfter=No
23	子ブ	nep	NOUN	名詞	_	26	obj	_	SpaceAfter=No
24	ヱ子ヽ	enene	ADV	副詞	_	26	advmod	_	SpaceAfter=No
25	ヤツカイキ	yakkayki	SCONJ	接続詞	_	26	advmod	_	SpaceAfter=No
26	ヘトグ	hetuku	VERB	自動詞	_	27	acl	_	SpaceAfter=No
27	ルヱ	ruwe	NOUN	形式名詞	_	36	advcl	_	SpaceAfter=No
28	子	ne	AUX	デアル動詞	_	27	cop	_	SpaceAfter=No
29	ナ	na	PART	終助詞	_	27	mark	_	SpaceAfter=No
30	子ア	néa	DET	連体詞	_	31	det	_	SpaceAfter=No
31	ビ	pe	NOUN	形式名詞	_	35	obj	_	SpaceAfter=No
32	ヤヱカト	yaykata	ADV	副詞	_	35	advmod	_	SpaceAfter=No
33	フシノ	upsino	ADV	副詞	_	35	advmod	_	SpaceAfter=No
34	ヱ	e=	PART	人称接辞	_	35	nsubj	_	SpaceAfter=No
35	キ	ki	VERB	他動詞	_	36	acl	_	SpaceAfter=No
36	ブ	p	NOUN	形式名詞	_	44	advcl	_	SpaceAfter=No
37	子	ne	AUX	デアル動詞	_	36	cop	_	SpaceAfter=No
38	クシユ	kusu	SCONJ	接続助詞	_	36	mark	_	SpaceAfter=No
39	アチヤ	áca	NOUN	名詞	_	43	nsubj	_	SpaceAfter=No
40	子	ne	ADP	格助詞	_	39	case	_	SpaceAfter=No
41	ワ	wa	SCONJ	接続助詞	_	39	case	_	SpaceAfter=No
42	ボウ	po	NOUN	名詞	_	39	conj	_	SpaceAfter=No
43	ウカトコロ	u-katkor	VERB	自動詞	_	44	acl	_	SpaceAfter=No
44	ルヱ	ruwe	NOUN	形式名詞	_	0	root	_	SpaceAfter=No
45	タバン	tapan	AUX	デアル動詞	_	44	cop	_	SpaceAfter=No

