# text = もし目前の愛におぼれて子を不義におちいらしむるは是禽犢の愛とて鳥獸の子を愛するには誠の愛にあらず
1	もし	若し	ADV	副詞	_	6	advmod	_	SpaceAfter=No
2	目前	目先	NOUN	名詞-普通名詞-一般	_	4	nmod	_	SpaceAfter=No
3	の	の	ADP	助詞-格助詞	_	2	case	_	SpaceAfter=No
4	愛	愛	NOUN	名詞-普通名詞-一般	_	6	obl	_	SpaceAfter=No
5	に	に	ADP	助詞-格助詞	_	4	case	_	SpaceAfter=No
6	おぼれ	溺れる	VERB	動詞-一般	_	12	advcl	_	SpaceAfter=No
7	て	て	SCONJ	助詞-接続助詞	_	6	mark	_	SpaceAfter=No
8	子	子	NOUN	名詞-普通名詞-一般	_	12	obj	_	SpaceAfter=No
9	を	を	ADP	助詞-格助詞	_	8	case	_	SpaceAfter=No
10	不義	不義	NOUN	名詞-普通名詞-一般	_	12	obl	_	SpaceAfter=No
11	に	に	ADP	助詞-格助詞	_	10	case	_	SpaceAfter=No
12	おちいら	陥る	VERB	動詞-一般	_	18	csubj	_	SpaceAfter=No
13	しむる	しめる	AUX	助動詞	_	12	aux	_	SpaceAfter=No
14	は	は	ADP	助詞-係助詞	_	12	case	_	SpaceAfter=No
15	是	此れ	PRON	代名詞	_	18	expl	_	SpaceAfter=No
16	禽犢	禽犢	NOUN	名詞-普通名詞-一般	_	18	nmod	_	SpaceAfter=No
17	の	の	ADP	助詞-格助詞	_	16	case	_	SpaceAfter=No
18	愛	愛	NOUN	名詞-普通名詞-一般	_	29	advcl	_	SpaceAfter=No
19	とて	とて	ADP	助詞-格助詞	_	18	mark	_	SpaceAfter=No
20	鳥獸	鳥獣	NOUN	名詞-普通名詞-一般	_	24	nsubj	_	SpaceAfter=No
21	の	の	ADP	助詞-格助詞	_	20	case	_	SpaceAfter=No
22	子	子	NOUN	名詞-普通名詞-一般	_	24	obj	_	SpaceAfter=No
23	を	を	ADP	助詞-格助詞	_	22	case	_	SpaceAfter=No
24	愛する	愛する	VERB	動詞-一般	_	29	csubj	_	SpaceAfter=No
25	に	に	ADP	助詞-格助詞	_	24	mark	_	SpaceAfter=No
26	は	は	ADP	助詞-係助詞	_	24	mark	_	SpaceAfter=No
27	誠	真	NOUN	名詞-普通名詞-一般	_	29	nmod	_	SpaceAfter=No
28	の	の	ADP	助詞-格助詞	_	27	case	_	SpaceAfter=No
29	愛	愛	NOUN	名詞-普通名詞-一般	_	0	root	_	SpaceAfter=No
30	に	なり	AUX	助動詞	_	29	cop	_	SpaceAfter=No
31	あら	有る	AUX	動詞-非自立可能	_	29	aux	_	SpaceAfter=No
32	ず	ず	AUX	助動詞	_	29	aux	_	SpaceAfter=No

