# text = 又子たるものも衣食の養ひ朝夕の勤はいふに及ばずすべて身をつゝしみ父母の志にそむかざる様にすべし
1	又	又	CCONJ	接続詞	_	29	cc	_	SpaceAfter=No
2	子	子	NOUN	名詞-普通名詞-一般	_	4	acl	_	SpaceAfter=No
3	たる	たり	AUX	助動詞	_	2	cop	_	SpaceAfter=No
4	もの	者	NOUN	名詞-普通名詞-一般	_	20	nsubj	_	SpaceAfter=No
5	も	も	ADP	助詞-係助詞	_	4	case	_	SpaceAfter=No
6	衣食	衣食	NOUN	名詞-普通名詞-一般	_	8	nmod	_	SpaceAfter=No
7	の	の	ADP	助詞-格助詞	_	6	case	_	SpaceAfter=No
8	養ひ	養い	NOUN	名詞-普通名詞-一般	_	15	nsubj	_	SpaceAfter=No
9	朝夕	朝夕	NOUN	名詞-普通名詞-一般	_	11	nmod	_	SpaceAfter=No
10	の	の	ADP	助詞-格助詞	_	9	case	_	SpaceAfter=No
11	勤	勤め	NOUN	名詞-普通名詞-一般	_	8	conj	_	SpaceAfter=No
12	は	は	ADP	助詞-係助詞	_	11	case	_	SpaceAfter=No
13	いふ	言う	VERB	動詞-一般	_	15	advcl	_	SpaceAfter=No
14	に	に	ADP	助詞-格助詞	_	13	case	_	SpaceAfter=No
15	及ば	及ぶ	VERB	動詞-一般	_	20	advcl	_	SpaceAfter=No
16	ず	ず	AUX	助動詞	_	15	aux	_	SpaceAfter=No
17	すべて	全て	ADV	名詞-普通名詞-副詞可能	_	20	advmod	_	SpaceAfter=No
18	身	身	NOUN	名詞-普通名詞-一般	_	20	obj	_	SpaceAfter=No
19	を	を	ADP	助詞-格助詞	_	18	case	_	SpaceAfter=No
20	つゝしみ	慎む	VERB	動詞-一般	_	25	advcl	_	SpaceAfter=No
21	父母	父母	NOUN	名詞-普通名詞-一般	_	23	nmod	_	SpaceAfter=No
22	の	の	ADP	助詞-格助詞	_	21	case	_	SpaceAfter=No
23	志	志	NOUN	名詞-普通名詞-一般	_	25	obl	_	SpaceAfter=No
24	に	に	ADP	助詞-格助詞	_	23	case	_	SpaceAfter=No
25	そむか	背く	VERB	動詞-一般	_	29	advcl	_	SpaceAfter=No
26	ざる	ず	AUX	助動詞	_	25	aux	_	SpaceAfter=No
27	様	様	AUX	形状詞-助動詞語幹	_	25	aux	_	SpaceAfter=No
28	に	だ	AUX	助動詞	_	25	aux	_	SpaceAfter=No
29	す	為る	VERB	動詞-非自立可能	_	0	root	_	SpaceAfter=No
30	べし	べし	AUX	助動詞	_	29	aux	_	SpaceAfter=No

