# text = ケアンナク子ワノキワニノケウトモアナキ子ウボコロベアナキ子シ子サンヘトモシ子子トハケシリ子クシユウタシバ子フヲヤヲシケシヤクアリヱキン子ニソロワノランヱコヱンカラシヨモ子クシユヲヱラクニケウトモカシア子ラツチケクンベタバン
1	ケ	ke	INTJ	間投詞	_	4	discourse	_	SpaceAfter=No
2	アンナク子	anakne	ADP	副助詞	_	1	case	_	SpaceAfter=No
3	ワノ	wano	ADP	格助詞	_	1	case	_	SpaceAfter=No
4	キ	ki	VERB	他動詞	_	41	advcl	_	SpaceAfter=No
5	ワ	wa	SCONJ	接続助詞	_	4	mark	_	SpaceAfter=No
6	ニノ	néno	SCONJ	後置副詞	_	4	mark	_	SpaceAfter=No
7	ケウトモ	kewtumu	NOUN	名詞	_	41	nsubj	_	SpaceAfter=No
8	アナキ子	anakne	ADP	副助詞	_	7	case	_	SpaceAfter=No
9	ウボコロ	upokor	VERB	自動詞	_	10	acl	_	SpaceAfter=No
10	ベ	pe	NOUN	形式名詞	_	14	nsubj	_	SpaceAfter=No
11	アナキ子	anakne	ADP	副助詞	_	10	case	_	SpaceAfter=No
12	シ子	sine	NUM	数詞	_	13	nummod	_	SpaceAfter=No
13	サンヘ	sanpe	NOUN	名詞	_	14	nmod	_	SpaceAfter=No
14	トモ	tumu	NOUN	位置名詞	_	41	advcl	_	SpaceAfter=No
15	シ子	sine	NUM	数詞	_	16	nummod	_	SpaceAfter=No
16	子トハケ	netopake	NOUN	名詞	_	17	nmod	_	SpaceAfter=No
17	シリ	siri	NOUN	形式名詞	_	14	conj	_	SpaceAfter=No
18	子	ne	AUX	デアル動詞	_	14	cop	_	SpaceAfter=No
19	クシユ	kusu	SCONJ	接続詞	_	14	mark	_	SpaceAfter=No
20	ウタシバ	utaspa	VERB	自動詞	_	21	amod	_	SpaceAfter=No
21	子フ	nep	NOUN	名詞	_	24	obj	_	SpaceAfter=No
22	ヲヤ	oya	DET	連体詞	_	23	det	_	SpaceAfter=No
23	ヲシケ	uske	NOUN	形式名詞	_	24	obj	_	SpaceAfter=No
24	シヤク	sak	VERB	自動詞	_	34	advcl	_	SpaceAfter=No
25	アリヱキン子	earkinne	ADV	副詞	_	28	advmod	_	SpaceAfter=No
26	ニソロ	nisor	NOUN	名詞	_	28	obl	_	SpaceAfter=No
27	ワノ	wano	ADP	格助詞	_	26	case	_	SpaceAfter=No
28	ラン	ran	VERB	自動詞	_	30	ccomp	_	SpaceAfter=No
29	ヱ	e=	PART	人称接辞	_	30	nsubj	_	SpaceAfter=No
30	コヱンカラ	ko-inkar	VERB	他動詞	_	34	advcl	_	SpaceAfter=No
31	シヨモ	somo	ADV	副詞	_	32	advmod	_	SpaceAfter=No
32	子	ne	AUX	助動詞	_	30	aux	_	SpaceAfter=No
33	クシユ	kusu	SCONJ	接続助詞	_	30	mark	_	SpaceAfter=No
34	ヲヱラ	oyra	VERB	他動詞	_	35	acl	_	SpaceAfter=No
35	クニ	kuni	NOUN	形式名詞	_	39	nsubj	_	SpaceAfter=No
36	ケウトモ	kewtumu	NOUN	名詞	_	37	nmod	_	SpaceAfter=No
37	カシ	kasi	NOUN	位置名詞	_	39	obj	_	SpaceAfter=No
38-39	ア子ラツチケ	_	_	_	_	_	_	_	SpaceAfter=No
38	アン	an=	PART	人称接辞	_	39	nsubj	_	SpaceAfter=No
39	エラチッケ	e-racitke	VERB	他動詞	_	41	acl	_	SpaceAfter=No
40	クン	kuni	AUX	助動詞	_	39	aux	_	SpaceAfter=No
41	ベ	pe	NOUN	形式名詞	_	0	root	_	SpaceAfter=No
42	タバン	tapan	DET	連体詞	_	41	cop	_	SpaceAfter=No

