# text = 但其簡要をいふに父子は同氣一躰のものなればたがひに毛頭もへだてなく兔角に天性の親みを失はざるを本意とすべし
1	但	但し	CCONJ	接続詞	_	5	cc	_	SpaceAfter=No
2	其	其の	DET	連体詞	_	3	det	_	SpaceAfter=No
3	簡要	簡要	NOUN	名詞-普通名詞-一般	_	5	obj	_	SpaceAfter=No
4	を	を	ADP	助詞-格助詞	_	3	case	_	SpaceAfter=No
5	いふ	言う	VERB	動詞-一般	_	32	advcl	_	SpaceAfter=No
6	に	に	CCONJ	助詞-接続助詞	_	5	mark	_	SpaceAfter=No
7	父子	父子	NOUN	名詞-普通名詞-一般	_	12	nsubj	_	SpaceAfter=No
8	は	は	ADP	助詞-係助詞	_	7	case	_	SpaceAfter=No
9	同氣	同気	NOUN	名詞-普通名詞-一般	_	10	compound	_	SpaceAfter=No
10	一躰	一体	NOUN	名詞-普通名詞-一般	_	12	nmod	_	SpaceAfter=No
11	の	の	ADP	助詞-格助詞	_	10	case	_	SpaceAfter=No
12	もの	物	NOUN	名詞-普通名詞-サ変可能	_	20	obl	_	SpaceAfter=No
13	なれ	なり	AUX	助動詞	_	12	cop	_	SpaceAfter=No
14	ば	ば	CCONJ	助詞-接続助詞	_	12	mark	_	SpaceAfter=No
15	たがひ	互い	NOUN	名詞-普通名詞-一般	_	20	obl	_	SpaceAfter=No
16	に	に	ADP	助詞-格助詞	_	15	case	_	SpaceAfter=No
17	毛頭	毛頭	ADV	副詞	_	20	obl	_	SpaceAfter=No
18	も	も	ADP	助詞-係助詞	_	17	case	_	SpaceAfter=No
19	へだて	隔て	NOUN	名詞-普通名詞-一般	_	20	nsubj	_	SpaceAfter=No
20	なく	無い	ADJ	形容詞-非自立可能	_	27	advcl	_	SpaceAfter=No
21	兔角	兎角	ADV	副詞	_	27	advmod	_	SpaceAfter=No
22	に	に	ADP	助詞-格助詞	_	21	case	_	SpaceAfter=No
23	天性	天性	NOUN	名詞-普通名詞-一般	_	25	nmod	_	SpaceAfter=No
24	の	の	ADP	助詞-格助詞	_	23	case	_	SpaceAfter=No
25	親み	親しみ	NOUN	名詞-普通名詞-一般	_	27	obj	_	SpaceAfter=No
26	を	を	ADP	助詞-格助詞	_	25	case	_	SpaceAfter=No
27	失は	失う	VERB	動詞-一般	_	32	ccomp	_	SpaceAfter=No
28	ざる	ず	AUX	助動詞	_	27	aux	_	SpaceAfter=No
29	を	を	ADP	助詞-格助詞	_	27	case	_	SpaceAfter=No
30	本意	本意	NOUN	名詞-普通名詞-一般	_	32	obl	_	SpaceAfter=No
31	と	と	ADP	助詞-格助詞	_	30	case	_	SpaceAfter=No
32	す	為る	VERB	動詞-非自立可能	_	0	root	_	SpaceAfter=No
33	べし	べし	AUX	助動詞	_	32	aux	_	SpaceAfter=No

