# text = シユイ子ワノヱバカシアシテアツテカモヱ子ワコシラムシユイハヱヨコテ子クルアナキ子ウヌヽカラ
1	シユイ	suy	ADV	副詞	_	5	advmod	_	SpaceAfter=No
2	子	ne	ADP	格助詞	_	1	case	_	SpaceAfter=No
3	ワノ	wano	ADP	格助詞	_	1	case	_	SpaceAfter=No
4	ヱバカシ	epakasnu	VERB	他動詞	_	5	obj	_	SpaceAfter=No
5	アシテ	aste	VERB	他動詞	_	10	advcl	_	SpaceAfter=No
6	アツテ	atte	VERB	自動詞	_	7	amod	_	SpaceAfter=No
7	カモヱ	kamuy	NOUN	名詞	_	10	nsubj	_	SpaceAfter=No
8	子	ne	ADP	格助詞	_	7	case	_	SpaceAfter=No
9	ワ	wa	SCONJ	接続助詞	_	7	case	_	SpaceAfter=No
10	コシラムシユイハ	kosiramsuypa	VERB	他動詞	_	15	advcl	_	SpaceAfter=No
11	ヱヨコテ	eyoko-te	VERB	他動詞	_	13	acl	_	SpaceAfter=No
12	子	ne	AUX	助動詞	_	11	aux	_	SpaceAfter=No
13	クル	kur	NOUN	名詞	_	15	nsubj	_	SpaceAfter=No
14	アナキ子	anakne	ADP	副助詞	_	13	case	_	SpaceAfter=No
15	ウヌヽカラ	ununuke-ar	VERB	自動詞	_	0	root	_	SpaceAfter=No

