# text = さて其教を立て君には仁といひ臣には忠といふ
1	さて	扠	CCONJ	接続詞	_	5	cc	_	SpaceAfter=No
2	其	其の	DET	連体詞	_	3	det	_	SpaceAfter=No
3	教	教え	NOUN	名詞-普通名詞-一般	_	5	obj	_	SpaceAfter=No
4	を	を	ADP	助詞-格助詞	_	3	case	_	SpaceAfter=No
5	立て	立てる	VERB	動詞-一般	_	11	advcl	_	SpaceAfter=No
6	君	君	NOUN	名詞-普通名詞-一般	_	11	obl	_	SpaceAfter=No
7	に	に	ADP	助詞-格助詞	_	6	case	_	SpaceAfter=No
8	は	は	ADP	助詞-係助詞	_	6	case	_	SpaceAfter=No
9	仁	仁	NOUN	名詞-普通名詞-一般	_	11	obl	_	SpaceAfter=No
10	と	と	ADP	助詞-格助詞	_	9	case	_	SpaceAfter=No
11	いひ	言う	VERB	動詞-一般	_	17	advcl	_	SpaceAfter=No
12	臣	臣	NOUN	名詞-普通名詞-一般	_	17	obl	_	SpaceAfter=No
13	に	に	ADP	助詞-格助詞	_	12	case	_	SpaceAfter=No
14	は	は	ADP	助詞-係助詞	_	12	case	_	SpaceAfter=No
15	忠	忠	NOUN	名詞-普通名詞-一般	_	17	obl	_	SpaceAfter=No
16	と	と	ADP	助詞-格助詞	_	15	case	_	SpaceAfter=No
17	いふ	言う	VERB	動詞-一般	_	0	root	_	SpaceAfter=No

