# text = 只真実以て君に仕ひて奉公にうらおもてなきをいふなり
1	只	唯	ADV	接続詞	_	3	advmod	_	SpaceAfter=No
2	真実	真実	NOUN	名詞-普通名詞-一般	_	3	obl	_	SpaceAfter=No
3	以	持つ	VERB	動詞-一般	_	7	advcl	_	SpaceAfter=No
4	て	て	SCONJ	助詞-接続助詞	_	3	mark	_	SpaceAfter=No
5	君	君	NOUN	名詞-普通名詞-一般	_	7	obl	_	SpaceAfter=No
6	に	に	ADP	助詞-格助詞	_	5	case	_	SpaceAfter=No
7	仕ひ	使う	VERB	動詞-一般	_	12	advcl	_	SpaceAfter=No
8	て	て	SCONJ	助詞-接続助詞	_	7	mark	_	SpaceAfter=No
9	奉公	奉公	NOUN	名詞-普通名詞-サ変可能	_	12	obl	_	SpaceAfter=No
10	に	に	ADP	助詞-格助詞	_	9	case	_	SpaceAfter=No
11	うらおもて	裏表	NOUN	名詞-普通名詞-一般	_	12	nsubj	_	SpaceAfter=No
12	なき	無い	ADJ	形容詞-非自立可能	_	14	ccomp	_	SpaceAfter=No
13	を	を	ADP	助詞-格助詞	_	12	mark	_	SpaceAfter=No
14	いふ	言う	VERB	動詞-一般	_	0	root	_	SpaceAfter=No
15	なり	なり	AUX	助動詞	_	14	aux	_	SpaceAfter=No

