# text = ヱ子ヽアンベクシユニシハ子ワウタレケセウコヤヱラマツテケウトモ子イバクノカクンシンウコレンカコロクルケウトモカシア子ラツチケタンベタバンナ
1	ヱ子ヽ	enene	ADV	副詞	_	2	advmod	_	SpaceAfter=N
2	アン	an	VERB	自動詞	_	3	acl	_	SpaceAfter=No
3	ベ	pe	NOUN	形式名詞	_	10	obl	_	SpaceAfter=No
4	クシユ	kusu	SCONJ	接続詞	_	3	case	_	SpaceAfter=No
5	ニシハ	nispa	NOUN	名詞	_	10	nsubj	_	SpaceAfter=No
6	子	ne	ADP	格助詞	_	5	case	_	SpaceAfter=No
7	ワ	wa	SCONJ	接続助詞	_	5	case	_	SpaceAfter=No
8	ウタレ	utar	NOUN	名詞	_	9	nmod	_	SpaceAfter=No
9	ケセ	kese	NOUN	位置名詞	_	5	conj	_	SpaceAfter=No
10	ウコヤヱラマツテ	uko-yay-ramat-te	VERB	自動詞	_	11	acl	_	SpaceAfter=No
11	ケウトモ	kewtumu	NOUN	名詞	_	23	nsubj	_	SpaceAfter=No
12	子イ	ney	NOUN	名詞	_	23	obl	_	SpaceAfter=No
13	バクノ	pakno	SCONJ	後置副詞	_	12	case	_	SpaceAfter=No
14	カ	ka	ADP	副助詞	_	12	case	_	SpaceAfter=No
15	クンシン	Kunsin	NOUN	名詞	_	21	nsubj	_	SpaceAfter=No
16	ウコレンカコロ	uko-irenkakor	VERB	自動詞	_	17	amod	_	SpaceAfter=No
17	クル	kur	NOUN	名詞	_	15	appos	_	SpaceAfter=No
18	ケウトモ	kewtumu	NOUN	名詞	_	19	nmod	_	SpaceAfter=No
19	カシ	kasi	NOUN	位置名詞	_	21	obj	_	SpaceAfter=No
20	ア子	ani	SCONJ	後置副詞	_	19	case	_	SpaceAfter=No
21	ラツチケ	ratci-ke	VERB	他動詞	_	23	acl	_	SpaceAfter=No
22	タン	tan	DET	連体詞	_	23	det	_	SpaceAfter=No
23	ベ	pe	NOUN	形式名詞	_	0	root	_	SpaceAfter=No
24	タバン	tapan	AUX	デアル動詞	_	23	cop	_	SpaceAfter=No
25	ナ	na	PART	終助詞	_	23	discourse	_	SpaceAfter=No

