# text = 其理に因て夫婦の倫を定るなり
1	其	其の	DET	連体詞	_	2	det	_	SpaceAfter=No
2	理	理	NOUN	名詞-普通名詞-一般	_	4	obl	_	SpaceAfter=No
3	に	に	ADP	助詞-格助詞	_	2	case	_	SpaceAfter=No
4	因	因る	VERB	動詞-一般	_	10	advcl	_	SpaceAfter=No
5	て	て	SCONJ	助詞-接続助詞	_	4	mark	_	SpaceAfter=No
6	夫婦	夫婦	NOUN	名詞-普通名詞-一般	_	8	nmod	_	SpaceAfter=No
7	の	の	ADP	助詞-格助詞	_	6	case	_	SpaceAfter=No
8	倫	倫	NOUN	名詞-普通名詞-一般	_	10	obj	_	SpaceAfter=No
9	を	を	ADP	助詞-格助詞	_	8	case	_	SpaceAfter=No
10	定る	決まる	VERB	動詞-一般	_	0	root	_	SpaceAfter=No
11	なり	なり	AUX	助動詞	_	10	aux	_	SpaceAfter=No

