# text = ケアンナクホクレコロヘアナキ子ヨフケヲヘカクルアンノレコレアンテ子フヲロシヘ子ワ子ヤツカヱキヲヘカケウトモコロワヤヱラムノマツウヱトレンシノツ子モシマウタレヲツタウヱシカビソモキクニ子ナ
1	ケ	ke	INTJ	間投詞	_	4	discourse	_	SpaceAfter=No
2	アンナク	anak	ADP	副助詞	_	1	case	_	SpaceAfter=No
3	ホク	hoku	NOUN	名詞	_	4	nsubj	_	SpaceAfter=No
4	レコロ	rékor	VERB	自動詞	_	5	acl	_	SpaceAfter=No
5	ヘ	pe	NOUN	形式名詞	_	13	nsubj	_	SpaceAfter=No
6	アナキ子	anakne	ADP	副助詞	_	5	case	_	SpaceAfter=No
7	ヨフケ	yapkir	VERB	自動詞	_	9	amod	_	SpaceAfter=No
8	ヲヘカ	owpeka	VERB	自動詞	_	9	amod	_	SpaceAfter=No
9	クル	kur	NOUN	名詞	_	10	nsubj	_	SpaceAfter=No
10	アン	an	VERB	自動詞	_	12	advcl	_	SpaceAfter=No
11	ノ	no	SCONJ	接続助詞	_	12	advmod	_	SpaceAfter=No
12	レコレ	rékore	VERB	他動詞	_	13	ccomp	_	SpaceAfter=No
13	アンテ	ante	VERB	他動詞	_	14	acl	_	SpaceAfter=No
14	子フ	nep	NOUN	名詞	_	15	nmod	_	SpaceAfter=No
15	ヲロシヘ	oruspe	NOUN	名詞	_	22	advcl	_	SpaceAfter=No
16	子	ne	ADP	格助詞	_	15	case	_	SpaceAfter=No
17	ワ	wa	SCONJ	接続助詞	_	15	case	_	SpaceAfter=No
18	子	ne	AUX	デアル動詞	_	15	cop	_	SpaceAfter=No
19	ヤツカヱキ	yakkayki	SCONJ	接続詞	_	15	mark	_	SpaceAfter=No
20	ヲヘカ	owpeka	VERB	自動詞	_	21	amod	_	SpaceAfter=No
21	ケウトモ	kewtumu	NOUN	名詞	_	22	obj	_	SpaceAfter=No
22	コロ	kor	VERB	自動詞	_	27	advcl	_	SpaceAfter=No
23	ワ	wa	SCONJ	接続助詞	_	22	mark	_	SpaceAfter=No
24	ヤヱラムノ	yayramu-no	ADV	副詞	_	25	amod	_	SpaceAfter=No
25	マツ	mat	VERB	自動詞	_	27	obj	_	SpaceAfter=No
26	ウヱトレン	uweturen	ADV	副詞	_	27	advmod	_	SpaceAfter=No
27	シノツ	sinot	VERB	自動詞	_	33	advcl	_	SpaceAfter=No
28	子	ne	AUX	助動詞	_	27	mark	_	SpaceAfter=No
29	モシマ	mosma	SCONJ	後置副詞	_	30	amod	_	SpaceAfter=No
30	ウタレ	utar	NOUN	名詞	_	31	nmod	_	SpaceAfter=No
31	ヲツ	or	NOUN	位置名詞	_	33	obl	_	SpaceAfter=No
32	タ	ta	ADP	格助詞	_	31	case	_	SpaceAfter=No
33	ウヱシカ	u-esikari	VERB	自動詞	_	34	acl	_	SpaceAfter=No
34	ビ	pe	NOUN	形式名詞	_	36	obj	_	SpaceAfter=No
35	ソモ	somo	ADV	副詞	_	36	advmod	_	SpaceAfter=No
36	キ	ki	VERB	他動詞	_	0	root	_	SpaceAfter=No
37	クニ	kuni	AUX	助動詞	_	36	aux	_	SpaceAfter=No
38	子	ne	AUX	助動詞	_	36	aux	_	SpaceAfter=No
39	ナ	na	PART	終助詞	_	36	discourse	_	SpaceAfter=No

