# text = されば夫は剛正とてつよく正しき徳を以て常に婦を倡ひかりにも容色に迷ふ心あるべからず
1	されば	されば	CCONJ	接続詞	_	17	cc	_	SpaceAfter=No
2	夫	夫	NOUN	名詞-普通名詞-一般	_	5	nsubj	_	SpaceAfter=No
3	は	は	ADP	助詞-係助詞	_	2	case	_	SpaceAfter=No
4	剛	剛	NOUN	名詞-普通名詞-一般	_	5	compound	_	SpaceAfter=No
5	正	正	NOUN	接尾辞-名詞的-一般	_	11	advcl	_	SpaceAfter=No
6	とて	とて	ADP	助詞-格助詞	_	5	case	_	SpaceAfter=No
7	つよく	強い	ADJ	形容詞-一般	_	8	advcl	_	SpaceAfter=No
8	正しき	正しい	ADJ	形容詞-一般	_	9	acl	_	SpaceAfter=No
9	徳	徳	NOUN	名詞-普通名詞-一般	_	11	obj	_	SpaceAfter=No
10	を	を	ADP	助詞-格助詞	_	9	case	_	SpaceAfter=No
11	以	持つ	VERB	動詞-一般	_	17	advcl	_	SpaceAfter=No
12	て	て	SCONJ	助詞-接続助詞	_	11	mark	_	SpaceAfter=No
13	常	常	NOUN	名詞-普通名詞-一般	_	17	obl	_	SpaceAfter=No
14	に	に	ADP	助詞-格助詞	_	13	case	_	SpaceAfter=No
15	婦	嫁	NOUN	名詞-普通名詞-一般	_	17	obj	_	SpaceAfter=No
16	を	を	ADP	助詞-格助詞	_	15	case	_	SpaceAfter=No
17	倡ひ	伴う	VERB	動詞-一般	_	25	advcl	_	SpaceAfter=No
18	かり	仮	NOUN	名詞-普通名詞-一般	_	25	obl	_	SpaceAfter=No
19	に	に	ADP	助詞-格助詞	_	18	case	_	SpaceAfter=No
20	も	も	ADP	助詞-係助詞	_	18	case	_	SpaceAfter=No
21	容色	容色	NOUN	名詞-普通名詞-一般	_	23	obl	_	SpaceAfter=No
22	に	に	ADP	助詞-格助詞	_	21	case	_	SpaceAfter=No
23	迷ふ	迷う	VERB	動詞-一般	_	24	acl	_	SpaceAfter=No
24	心	心	NOUN	名詞-普通名詞-サ変可能	_	25	nsubj	_	SpaceAfter=No
25	ある	有る	VERB	動詞-非自立可能	_	0	root	_	SpaceAfter=No
26	べから	べし	AUX	助動詞	_	25	aux	_	SpaceAfter=No
27	ず	ず	AUX	助動詞	_	25	aux	_	SpaceAfter=No

