# text = ケアンナク子ワラマツアナキ子ウムレツクルヱウコヒリカヤツカヱキブリアナキ子マカナンタコタツカヲツカイメノコヲビツカ子カアンルヱ子クシユヱ子ソモアンクニラムヲカイヤ
1	ケ	ke	INTJ	間投詞	_	29	discourse	_	SpaceAfter=No
2	アンナク子	anakne	ADP	副助詞	_	1	case	_	SpaceAfter=No
3	ワ	wa	SCONJ	接続助詞	_	1	case	_	SpaceAfter=No
4	ラマツ	ramat	NOUN	名詞	_	29	obl	_	SpaceAfter=No
5	アナキ子	anakne	ADP	副助詞	_	4	case	_	SpaceAfter=No
6	ウムレツ	umurek	VERB	自動詞	_	7	amod	_	SpaceAfter=No
7	クル	kur	NOUN	名詞	_	8	nsubj	_	SpaceAfter=No
8	ヱウコヒリカ	e-uko-pirka	VERB	他動詞	_	14	advcl	_	SpaceAfter=No
9	ヤツカヱキ	yakkayki	SCONJ	接続助詞	_	8	mark	_	SpaceAfter=No
10	ブリ	puri	NOUN	名詞	_	14	obj	_	SpaceAfter=No
11	アナキ子	anakne	ADP	副助詞	_	10	case	_	SpaceAfter=No
12	マカナン	makanan	ADV	副詞	_	14	advmod	_	SpaceAfter=No
13	タ	ta	ADP	格助詞	_	12	case	_	SpaceAfter=No
14	コタツ	kotak	VERB	他動詞	_	21	advcl	_	SpaceAfter=No
15	カ	ka	ADP	副助詞	_	14	mark	_	SpaceAfter=No
16	ヲツカイ	okkayo	NOUN	名詞	_	21	nsubj	_	SpaceAfter=No
17	メノコ	menoko	NOUN	名詞	_	16	conj	_	SpaceAfter=No
18	ヲビツ	opitta	SCONJ	後置副詞	_	16	case	_	SpaceAfter=No
19	カ子	kane	SCONJ	接続助詞	_	16	case	_	SpaceAfter=No
20	カ	ka	ADP	副助詞	_	16	case	_	SpaceAfter=No
21	アン	an	VERB	自動詞	_	22	acl	_	SpaceAfter=No
22	ルヱ	ruwe	NOUN	形式名詞	_	27	advcl	_	SpaceAfter=No
23	子	ne	AUX	デアル動詞	_	22	cop	_	SpaceAfter=No
24	クシユ	kusu	SCONJ	接続助詞	_	22	mark	_	SpaceAfter=No
25	ヱ子	ene	ADV	副詞	_	27	advmod	_	SpaceAfter=No
26	ソモ	somo	ADV	副詞	_	27	advmod	_	SpaceAfter=No
27	アン	an	VERB	自動詞	_	28	acl	_	SpaceAfter=No
28	クニ	kuni	NOUN	形式名詞	_	29	nsubj	_	SpaceAfter=No
29	ラムヲカイ	ramuoka	VERB	自動詞	_	0	root	_	SpaceAfter=No
30	ヤ	ya	PART	終助詞	_	29	discourse	_	SpaceAfter=No

