# text = ケアンナク子ワノシケウトモヱ子バツテアニヱリワクアナキ子ニシヨロワノコバクンテクシユアツハケタセベンケアヌヲロワノカントワノア子コアンテルヱ子クシユヱルカボカイタバンヱキリヱタラカイキノソモアンクニ子ナ
1	ケ	ke	INTJ	間投詞	_	6	discourse	_	SpaceAfter=No
2	アンナク子	anakne	ADP	副助詞	_	1	case	_	SpaceAfter=No
3	ワノ	wano	ADP	格助詞	_	1	case	_	SpaceAfter=No
4	シケウトモ	si-kewtumu	NOUN	名詞	_	6	obj	_	SpaceAfter=No
5	ヱ子	ene	ADV	副詞	_	6	advmod	_	SpaceAfter=No
6	バツテ	pakte	VERB	他動詞	_	14	advcl	_	SpaceAfter=No
7	アニ	ani	SCONJ	後置副詞	_	6	mark	_	SpaceAfter=No
8	ヱリワク	irwak	NOUN	名詞	_	14	obj	_	SpaceAfter=No
9	アナキ子	anakne	ADP	副助詞	_	8	case	_	SpaceAfter=No
10	ニシヨロ	nisor	NOUN	名詞	_	12	nmod	_	SpaceAfter=No
11	ワノ	wano	ADP	格助詞	_	10	case	_	SpaceAfter=No
12-13	コバクン	_	_	_	_	_	_	_	SpaceAfter=No
12	コパㇰ	kopak	NOUN	位置名詞	_	14	obl	_	SpaceAfter=No
13	ウン	un	ADP	格助詞	_	12	case	_	SpaceAfter=No
14	テ	te	VERB	他動詞	_	26	advcl	_	SpaceAfter=No
15	クシユ	kusu	SCONJ	接続詞	_	14	mark	_	SpaceAfter=No
16	アツハケ	atpake	NOUN	名詞	_	18	obl	_	SpaceAfter=No
17	タ	ta	ADP	格助詞	_	16	case	_	SpaceAfter=No
18	セ	se	VERB	他動詞	_	19	acl	_	SpaceAfter=No
19	ベンケ	penke	NOUN	位置名詞	_	20	obj	_	SpaceAfter=No
20	アヌ	anu	VERB	他動詞	_	21	acl	_	SpaceAfter=No
21	ヲロ	oro	NOUN	位置名詞	_	26	obl	_	SpaceAfter=No
22	ワノ	wano	ADP	格助詞	_	21	case	_	SpaceAfter=No
23	カント	kanto	NOUN	名詞	_	26	obl	_	SpaceAfter=No
24	ワノ	wano	ADP	格助詞	_	23	case	_	SpaceAfter=No
25-26	ア子コアンテ	_	_	_	_	_	_	_	SpaceAfter=No
25	アン	an=	PART	人称接辞	_	26	nsubj	_	SpaceAfter=No
26	エコアンテ	e-ko-ante	VERB	他動詞	_	27	acl	_	SpaceAfter=No
27	ルヱ	ruwe	NOUN	形式名詞	_	38	advcl	_	SpaceAfter=No
28	子	ne	AUX	デアル動詞	_	27	cop	_	SpaceAfter=No
29	クシユ	kusu	SCONJ	接続詞	_	27	mark	_	SpaceAfter=No
30	ヱルカ	iruka	ADV	副詞	_	35	advmod	_	SpaceAfter=No
31	ボカイ	póka	ADP	副助詞	_	30	case	_	SpaceAfter=No
32	タバン	tapan	DET	連体詞	_	33	det	_	SpaceAfter=No
33	ヱキリ	ikir	NOUN	名詞	_	35	nsubj	_	SpaceAfter=No
34	ヱタラカ	etarka	ADV	副詞	_	35	advmod	_	SpaceAfter=No
35	イキ	iki	VERB	自動詞	_	38	advcl	_	SpaceAfter=No
36	ノ	no	SCONJ	接続助詞	_	35	mark	_	SpaceAfter=No
37	ソモ	somo	ADV	副詞	_	38	advmod	_	SpaceAfter=No
38	アン	an	VERB	自動詞	_	39	acl	_	SpaceAfter=No
39	クニ	kuni	NOUN	形式名詞	_	0	root	_	SpaceAfter=No
40	子	ne	AUX	デアル動詞	_	39	cop	_	SpaceAfter=No
41	ナ	na	PART	終助詞	_	39	discourse	_	SpaceAfter=No

