# text = 但し其簡要をいはゞ兄弟は天倫とて始めて生れたるより天の定たる次第なればかりにも此次第をみだすべからず
1	但し	但し	CCONJ	接続詞	_	5	cc	_	SpaceAfter=No
2	其	其の	DET	連体詞	_	3	det	_	SpaceAfter=No
3	簡要	簡要	NOUN	名詞-普通名詞-一般	_	5	obj	_	SpaceAfter=No
4	を	を	ADP	助詞-格助詞	_	3	case	_	SpaceAfter=No
5	いは	言う	VERB	動詞-一般	_	29	advcl	_	SpaceAfter=No
6	ゞ	ば	CCONJ	助詞-接続助詞	_	5	mark	_	SpaceAfter=No
7	兄弟	兄弟	NOUN	名詞-普通名詞-一般	_	20	nsubj	_	SpaceAfter=No
8	は	は	ADP	助詞-係助詞	_	7	case	_	SpaceAfter=No
9	天倫	天倫	NOUN	名詞-普通名詞-一般	_	13	obl	_	SpaceAfter=No
10	と	と	ADP	助詞-格助詞	_	9	case	_	SpaceAfter=No
11	て	て	SCONJ	助詞-接続助詞	_	9	case	_	SpaceAfter=No
12	始めて	初めて	ADV	副詞	_	13	advmod	_	SpaceAfter=No
13	生れ	生まれる	VERB	動詞-一般	_	20	advcl	_	SpaceAfter=No
14	たる	たり	AUX	助動詞	_	13	aux	_	SpaceAfter=No
15	より	より	ADP	助詞-格助詞	_	13	mark	_	SpaceAfter=No
16	天	天	NOUN	名詞-普通名詞-一般	_	18	nsubj	_	SpaceAfter=No
17	の	の	ADP	助詞-格助詞	_	16	case	_	SpaceAfter=No
18	定	定める	VERB	動詞-一般	_	20	acl	_	SpaceAfter=No
19	たる	たり	AUX	助動詞	_	18	aux	_	SpaceAfter=No
20	次第	次第	NOUN	名詞-普通名詞-副詞可能	_	29	advcl	_	SpaceAfter=No
21	なれ	なり	AUX	助動詞	_	20	cop	_	SpaceAfter=No
22	ば	ば	CCONJ	助詞-接続助詞	_	20	mark	_	SpaceAfter=No
23	かり	仮	NOUN	名詞-普通名詞-一般	_	29	obl	_	SpaceAfter=No
24	に	に	ADP	助詞-格助詞	_	23	case	_	SpaceAfter=No
25	も	も	ADP	助詞-係助詞	_	23	case	_	SpaceAfter=No
26	此	此の	DET	連体詞	_	27	det	_	SpaceAfter=No
27	次第	次第	NOUN	名詞-普通名詞-副詞可能	_	29	obj	_	SpaceAfter=No
28	を	を	ADP	助詞-格助詞	_	27	case	_	SpaceAfter=No
29	みだす	乱す	VERB	動詞-一般	_	0	root	_	SpaceAfter=No
30	べから	べし	AUX	助動詞	_	29	aux	_	SpaceAfter=No
31	ず	ず	AUX	助動詞	_	29	aux	_	SpaceAfter=No

