# text = ヱ子イキマノクシユキア子ブベウレクルカタシヨアンクニイリワクブルセ子イバクノキアン子ベウレヲロケ子ウヲヤトモコテ子イルヱシアン子
1	ヱ子	ene	ADV	副詞	_	2	advmod	_	SpaceAfter=No
2	イキ	iki	VERB	自動詞	_	14	advcl	_	SpaceAfter=No
3	マノ	manu	AUX	助動詞	_	2	aux	_	SpaceAfter=No
4	クシユ	kusu	SCONJ	接続詞	_	2	mark	_	SpaceAfter=No
5	キア子ブ	kiyannepo	NOUN	名詞	_	8	nmod	_	SpaceAfter=No
6	ベウレ	pewre	VERB	自動詞	_	7	amod	_	SpaceAfter=No
7	クル	kur	NOUN	名詞	_	5	conj	_	SpaceAfter=No
8	カ	ka	NOUN	位置名詞	_	11	obl	_	SpaceAfter=No
9	タ	ta	ADP	格助詞	_	8	case	_	SpaceAfter=No
10	シヨ	Jo	NOUN	名詞	_	11	nsubj	_	SpaceAfter=No
11	アン	an	VERB	自動詞	_	12	acl	_	SpaceAfter=No
12	クニ	kuni	NOUN	形式名詞	_	14	obj	_	SpaceAfter=No
13	イリワク	irwak	NOUN	名詞	_	14	nsubj	_	SpaceAfter=No
14	ブルセ	pórose	VERB	他動詞	_	23	advcl	_	SpaceAfter=No
15	子イ	ney	NOUN	位置名詞	_	23	obl	_	SpaceAfter=No
16	バクノ	pakno	SCONJ	後置副詞	_	15	case	_	SpaceAfter=No
17	キアン子	kiyanne	VERB	自動詞	_	19	acl	_	SpaceAfter=No
18	ベウレ	pewre	VERB	自動詞	_	17	conj	_	SpaceAfter=No
19	ヲロケ	orke	NOUN	位置名詞	_	23	iobj	_	SpaceAfter=No
20	子	ne	ADP	格助詞	_	19	case	_	SpaceAfter=No
21	ウヲヤ	uwoya	DET	連体詞	_	22	det	_	SpaceAfter=No
22	トモ	tumu	NOUN	位置名詞	_	23	obj	_	SpaceAfter=No
23	コテ	kote	VERB	他動詞	_	25	acl	_	SpaceAfter=No
24	子イ	ney	NOUN	位置名詞	_	25	nmod	_	SpaceAfter=No
25	ルヱ	ruwe	NOUN	形式名詞	_	26	nsubj	_	SpaceAfter=No
26	シアン	si-an	VERB	自動詞	_	0	root	_	SpaceAfter=No
27	子	ne	AUX	助動詞	_	26	aux	_	SpaceAfter=No

