# text = タンヘクシユウコシコフカタウカトアノコアンテワウヱカタヨロツアリアンベシヨモヲヱラクニビリカヲロシベキメツケレクンアナキ子ウコシコフクルウヱレンカ子ルヱタバン
1	タン	tan	DET	連体詞	_	2	det	_	SpaceAfter=No
2	ヘ	pe	NOUN	形式名詞	_	7	obl	_	SpaceAfter=No
3	クシユ	kusu	SCONJ	接続詞	_	2	case	_	SpaceAfter=No
4	ウコシコフ	ukosukup	VERB	自動詞	_	5	amod	_	SpaceAfter=No
5	カ	ka	NOUN	位置名詞	_	7	obl	_	SpaceAfter=No
6	タ	ta	ADP	格助詞	_	5	case	_	SpaceAfter=No
7	ウ	o	VERB	他動詞	_	8	acl	_	SpaceAfter=No
8	カト	katu	NOUN	形式名詞	_	10	obj	_	SpaceAfter=No
9-10	アノコアンテ	_	_	_	_	_	_	_	SpaceAfter=No
9	アン	an=	PART	人称接辞	_	10	nsubj	_	SpaceAfter=No
10	ウコアンテ	uko-ante	VERB	他動詞	_	29	advcl	_	SpaceAfter=No
11	ワ	wa	SCONJ	接続助詞	_	10	mark	_	SpaceAfter=No
12	ウヱカタヨロツ	uwekatayerotke	VERB	自動詞	_	14	advcl	_	SpaceAfter=No
13	アリ	ari	SCONJ	接続助詞	_	12	mark	_	SpaceAfter=No
14	アン	an	VERB	自動詞	_	15	acl	_	SpaceAfter=No
15	ベ	pe	NOUN	形式名詞	_	17	obj	_	SpaceAfter=No
16	シヨモ	somo	ADV	副詞	_	17	advmod	_	SpaceAfter=No
17	ヲヱラ	oyra	VERB	他動詞	_	18	acl	_	SpaceAfter=No
18	クニ	kuni	NOUN	形式名詞	_	29	nsubj	_	SpaceAfter=No
19	ビリカ	pirka	VERB	自動詞	_	20	amod	_	SpaceAfter=No
20	ヲロシベ	oruspe	NOUN	名詞	_	22	obj	_	SpaceAfter=No
21-22	キメツケレ	_	_	_	_	_	_	_	SpaceAfter=No
21	ㇰ	k=	PART	人称接辞	_	22	nsubj	_	SpaceAfter=No
22	エイメㇰカㇻ	eymekkar	VERB	他動詞	_	23	acl	_	SpaceAfter=No
23	クン	kuni	NOUN	形式名詞	_	18	conj	_	SpaceAfter=No
24	アナキ子	anakne	ADP	副助詞	_	23	case	_	SpaceAfter=No
25	ウコシコフ	ukosukup	VERB	自動詞	_	26	acl	_	SpaceAfter=No
26	クル	kur	NOUN	名詞	_	27	nsubj	_	SpaceAfter=No
27	ウヱレンカ	u-irenka	VERB	自動詞	_	29	acl	_	SpaceAfter=No
28	子	ne	AUX	助動詞	_	27	aux	_	SpaceAfter=No
29	ルヱ	ruwe	NOUN	形式名詞	_	0	root	_	SpaceAfter=No
30	タバン	tapan	AUX	デアル動詞	_	29	cop	_	SpaceAfter=No

