# text = 正しく直なる人または物知れる人に交るを益友とし柔弱にしていつはる人または軽薄なる人にまじはるをば損友とす
1	正しく	正しい	ADJ	形容詞-一般	_	4	amod	_	SpaceAfter=No
2	直	直	ADJ	形状詞-一般	_	4	acl	_	SpaceAfter=No
3	なる	なり	AUX	助動詞	_	2	aux	_	SpaceAfter=No
4	人	人	NOUN	名詞-普通名詞-一般	_	12	obl	_	SpaceAfter=No
5	また	又	CCONJ	接続詞	_	10	cc	_	SpaceAfter=No
6	は	は	ADP	助詞-係助詞	_	5	case	_	SpaceAfter=No
7	物	物	NOUN	名詞-普通名詞-サ変可能	_	8	obj	_	SpaceAfter=No
8	知れ	知る	VERB	動詞-一般	_	10	acl	_	SpaceAfter=No
9	る	り	AUX	助動詞	_	8	aux	_	SpaceAfter=No
10	人	人	NOUN	名詞-普通名詞-一般	_	4	conj	_	SpaceAfter=No
11	に	に	ADP	助詞-格助詞	_	10	case	_	SpaceAfter=No
12	交る	交わる	VERB	動詞-一般	_	16	ccomp	_	SpaceAfter=No
13	を	を	ADP	助詞-格助詞	_	12	mark	_	SpaceAfter=No
14	益友	益友	NOUN	名詞-普通名詞-一般	_	16	obl	_	SpaceAfter=No
15	と	と	ADP	助詞-格助詞	_	14	case	_	SpaceAfter=No
16	し	為る	VERB	動詞-非自立可能	_	33	advcl	_	SpaceAfter=No
17	柔弱	柔弱	ADJ	名詞-普通名詞-形状詞可能	_	21	advcl	_	SpaceAfter=No
18	に	なり	AUX	助動詞	_	17	aux	_	SpaceAfter=No
19	し	為る	AUX	動詞-非自立可能	_	17	aux	_	SpaceAfter=No
20	て	て	SCONJ	助詞-接続助詞	_	17	mark	_	SpaceAfter=No
21	いつはる	偽る	VERB	動詞-一般	_	22	acl	_	SpaceAfter=No
22	人	人	NOUN	名詞-普通名詞-一般	_	29	obl	_	SpaceAfter=No
23	また	又	CCONJ	接続詞	_	27	cc	_	SpaceAfter=No
24	は	は	ADP	助詞-係助詞	_	22	case	_	SpaceAfter=No
25	軽薄	軽薄	ADJ	名詞-普通名詞-形状詞可能	_	27	acl	_	SpaceAfter=No
26	なる	なり	AUX	助動詞	_	25	aux	_	SpaceAfter=No
27	人	人	NOUN	名詞-普通名詞-一般	_	22	conj	_	SpaceAfter=No
28	に	に	ADP	助詞-格助詞	_	27	case	_	SpaceAfter=No
29	まじはる	交わる	VERB	動詞-一般	_	33	ccomp	_	SpaceAfter=No
30	をば	をば	ADP	助詞-格助詞	_	29	mark	_	SpaceAfter=No
31	損友	損友	NOUN	名詞-普通名詞-一般	_	33	obl	_	SpaceAfter=No
32	と	と	ADP	助詞-格助詞	_	31	case	_	SpaceAfter=No
33	す	為る	VERB	動詞-非自立可能	_	0	root	_	SpaceAfter=No

