# text = 但其簡要をいはゞ朋友は親疎ともにものをいひかはし頼み合ふものなれば第一貞信にして相あさむかざるを本道とすべし
1	但	但し	CCONJ	接続詞	_	5	cc	_	SpaceAfter=No
2	其	其の	DET	連体詞	_	3	det	_	SpaceAfter=No
3	簡要	簡要	NOUN	名詞-普通名詞-一般	_	5	obj	_	SpaceAfter=No
4	を	を	ADP	助詞-格助詞	_	3	case	_	SpaceAfter=No
5	いは	言う	VERB	動詞-一般	_	14	advcl	_	SpaceAfter=No
6	ゞ	ば	CCONJ	助詞-接続助詞	_	5	mark	_	SpaceAfter=No
7	朋友	朋友	NOUN	名詞-普通名詞-一般	_	14	nsubj	_	SpaceAfter=No
8	は	は	ADP	助詞-係助詞	_	7	case	_	SpaceAfter=No
9	親疎	親疎	NOUN	名詞-普通名詞-一般	_	10	compound	_	SpaceAfter=No
10	とも	共	NOUN	名詞-普通名詞-一般	_	14	obl	_	SpaceAfter=No
11	に	に	ADP	助詞-格助詞	_	10	case	_	SpaceAfter=No
12	もの	物	NOUN	名詞-普通名詞-サ変可能	_	14	obj	_	SpaceAfter=No
13	を	を	ADP	助詞-格助詞	_	12	case	_	SpaceAfter=No
14	いひ	言う	VERB	動詞-一般	_	16	advcl	_	SpaceAfter=No
15	かはし	交わす	AUX	動詞-非自立可能	_	14	aux	_	SpaceAfter=No
16	頼み	頼む	VERB	動詞-一般	_	18	acl	_	SpaceAfter=No
17	合ふ	合う	AUX	動詞-非自立可能	_	16	aux	_	SpaceAfter=No
18	もの	物	NOUN	名詞-普通名詞-サ変可能	_	32	advcl	_	SpaceAfter=No
19	なれ	なり	AUX	助動詞	_	18	cop	_	SpaceAfter=No
20	ば	ば	CCONJ	助詞-接続助詞	_	18	mark	_	SpaceAfter=No
21	第一	第一	ADV	副詞	_	22	advmod	_	SpaceAfter=No
22	貞信	貞信	ADJ	名詞-普通名詞-形状詞可能	_	27	advcl	_	SpaceAfter=No
23	に	なり	AUX	助動詞	_	22	aux	_	SpaceAfter=No
24	し	為る	AUX	動詞-非自立可能	_	22	aux	_	SpaceAfter=No
25	て	て	SCONJ	助詞-接続助詞	_	22	mark	_	SpaceAfter=No
26	相	相	NOUN	接頭辞	_	27	compound	_	SpaceAfter=No
27	あさむか	欺く	VERB	動詞-一般	_	32	ccomp	_	SpaceAfter=No
28	ざる	ず	AUX	助動詞	_	27	aux	_	SpaceAfter=No
29	を	を	ADP	助詞-格助詞	_	27	case	_	SpaceAfter=No
30	本道	本道	NOUN	名詞-普通名詞-一般	_	32	obl	_	SpaceAfter=No
31	と	と	ADP	助詞-格助詞	_	30	case	_	SpaceAfter=No
32	す	為る	VERB	動詞-非自立可能	_	0	root	_	SpaceAfter=No
33	べし	べし	AUX	助動詞	_	32	aux	_	SpaceAfter=No

