# text = アヌウヲヤシコフシアンケウトモレコロヘアナキ子コンルコラツナムカシアヘセヽクコラツシユンケソモキリ子クニイタツフルセ子ルヱタハン
1	ア	a=	PART	人称接辞	_	2	nsubj	_	SpaceAfter=No
2	ヌ	nu	VERB	他動詞	_	4	advcl	_	SpaceAfter=No
3	ウヲヤ	uwoya	DET	連体詞	_	4	advmod	_	SpaceAfter=No
4	シコフ	sukup	VERB	自動詞	_	25	advcl	_	SpaceAfter=No
5	シアン	si-an	VERB	自動詞	_	6	amod	_	SpaceAfter=No
6	ケウトモ	kewtumu	NOUN	名詞	_	7	nsubj	_	SpaceAfter=No
7	レコロ	rékor	VERB	他動詞	_	8	acl	_	SpaceAfter=No
8	ヘ	pe	NOUN	形式名詞	_	25	nsubj	_	SpaceAfter=No
9	アナキ子	anakne	ADP	副助詞	_	8	case	_	SpaceAfter=No
10	コンル	konru	NOUN	名詞	_	12	nsubj	_	SpaceAfter=No
11	コラツ	koraci	SCONJ	後置副詞	_	10	case	_	SpaceAfter=No
12	ナム	nam	VERB	自動詞	_	13	acl	_	SpaceAfter=No
13	カシ	kasi	NOUN	位置名詞	_	15	obl	_	SpaceAfter=No
14	アヘ	ape	NOUN	名詞	_	15	nsubj	_	SpaceAfter=No
15	セヽク	sések	VERB	自動詞	_	25	advcl	_	SpaceAfter=No
16	コラツ	koraci	SCONJ	後置副詞	_	15	mark	_	SpaceAfter=No
17	シユンケ	sunke	NOUN	名詞	_	19	obj	_	SpaceAfter=No
18	ソモ	somo	ADV	副詞	_	19	advmod	_	SpaceAfter=No
19	キリ	kir	VERB	他動詞	_	22	acl	_	SpaceAfter=No
20	子	ne	AUX	助動詞	_	19	aux	_	SpaceAfter=No
21	クニ	kuni	AUX	助動詞	_	19	aux	_	SpaceAfter=No
22	イタツ	itak	NOUN	名詞	_	23	obj	_	SpaceAfter=No
23	フルセ	pórose	VERB	他動詞	_	25	acl	_	SpaceAfter=No
24	子	ne	AUX	助動詞	_	23	aux	_	SpaceAfter=No
25	ルヱ	ruwe	NOUN	形式名詞	_	0	root	_	SpaceAfter=No
26	タハン	tapan	AUX	デアル動詞	_	25	cop	_	SpaceAfter=No

