# text = 或云信とは氷のひやゝかに火のあつきが如くいつはりなきの謂なり
1	或	或いは	CCONJ	接続詞	_	2	cc	_	SpaceAfter=No
2	云	言う	VERB	動詞-一般	_	18	advcl	_	SpaceAfter=No
3	信	信	NOUN	名詞-普通名詞-一般	_	15	nsubj	_	SpaceAfter=No
4	と	と	ADP	助詞-格助詞	_	3	case	_	SpaceAfter=No
5	は	は	ADP	助詞-係助詞	_	3	case	_	SpaceAfter=No
6	氷	氷	NOUN	名詞-普通名詞-一般	_	8	nsubj	_	SpaceAfter=No
7	の	の	ADP	助詞-格助詞	_	6	case	_	SpaceAfter=No
8	ひやゝか	冷ややか	ADJ	形状詞-一般	_	12	advcl	_	SpaceAfter=No
9	に	なり	AUX	助動詞	_	8	aux	_	SpaceAfter=No
10	火	火	NOUN	名詞-普通名詞-一般	_	12	nsubj	_	SpaceAfter=No
11	の	の	ADP	助詞-格助詞	_	10	case	_	SpaceAfter=No
12	あつき	暑い	ADJ	形容詞-一般	_	18	advcl	_	SpaceAfter=No
13	が	が	ADP	助詞-格助詞	_	12	mark	_	SpaceAfter=No
14	如く	ごとし	AUX	助動詞	_	12	aux	_	SpaceAfter=No
15	いつはり	偽る	VERB	動詞-一般	_	18	acl	_	SpaceAfter=No
16	なき	無い	AUX	形容詞-非自立可能	_	15	aux	_	SpaceAfter=No
17	の	の	ADP	助詞-格助詞	_	15	mark	_	SpaceAfter=No
18	謂	謂	NOUN	名詞-普通名詞-一般	_	0	root	_	SpaceAfter=No
19	なり	なり	AUX	助動詞	_	18	aux	_	SpaceAfter=No

