# text = ナヲコラツベケレモシリクルカタヲン子ルウ子クシユニシハ子クルかしんウタレ子ワ子ヤツカモシリクルカタイラウケトバキクニルウタバン
1	ナ	na	ADV	副詞	_	8	advmod	_	SpaceAfter=No
2	ヲコラツ	koraci	SCONJ	後置副詞	_	1	case	_	SpaceAfter=No
3	ベケレ	peker	VERB	自動詞	_	4	amod	_	SpaceAfter=No
4	モシリ	mosir	NOUN	名詞	_	5	nmod	_	SpaceAfter=No
5	クルカ	kurka	NOUN	位置名詞	_	8	nmod	_	SpaceAfter=No
6	タ	ta	ADP	格助詞	_	5	case	_	SpaceAfter=No
7	ヲン子	onne	VERB	自動詞	_	8	amod	_	SpaceAfter=No
8	ルウ	ru	NOUN	名詞	_	25	advcl	_	SpaceAfter=No
9	子	ne	AUX	デアル動詞	_	8	cop	_	SpaceAfter=No
10	クシユ	kusu	SCONJ	接続助詞	_	8	mark	_	SpaceAfter=No
11	ニシハ子	nispane	VERB	自動詞	_	12	amod	_	SpaceAfter=No
12	クル	kur	NOUN	名詞	_	23	advcl	_	SpaceAfter=No
13	かしん	Kashin	NOUN	名詞	_	14	nmod	_	SpaceAfter=No
14	ウタレ	utar	NOUN	名詞	_	12	conj	_	SpaceAfter=No
15	子	ne	ADP	格助詞	_	12	case	_	SpaceAfter=No
16	ワ	wa	SCONJ	接続助詞	_	12	case	_	SpaceAfter=No
17	子	ne	AUX	デアル動詞	_	12	cop	_	SpaceAfter=No
18	ヤツカ	yakka	SCONJ	接続助詞	_	12	mark	_	SpaceAfter=No
19	モシリ	mosir	NOUN	名詞	_	20	nmod	_	SpaceAfter=No
20	クルカ	kurka	NOUN	位置名詞	_	23	obl	_	SpaceAfter=No
21	タ	ta	ADP	格助詞	_	20	case	_	SpaceAfter=No
22	イラウケトバ	irawketupa	NOUN	名詞	_	23	obj	_	SpaceAfter=No
23	キ	ki	VERB	他動詞	_	25	acl	_	SpaceAfter=No
24	クニ	kuni	AUX	助動詞	_	23	aux	_	SpaceAfter=No
25	ルウ	ru	NOUN	名詞	_	0	root	_	SpaceAfter=No
26	タバン	tapan	AUX	デアル動詞	_	25	cop	_	SpaceAfter=No

