# text = 子コナカツチヤマコタンコロラムイサマウタレ子ヤツカ子フイトヱタウトロタタンカンビイウカラレワワンベイバカシワ子ヤキ子シ子イタクトイタクヲシケウヌヤヱコヘヾケレクルカアンコトマンナ
1	子コナ	nékona	ADV	副詞	_	15	advmod	_	SpaceAfter=No
2	カツチヤマ	katcama	NOUN	名詞	_	3	nmod	_	SpaceAfter=No
3	コタン	kotan	NOUN	名詞	_	4	obj	_	SpaceAfter=No
4	コロ	kor	VERB	他動詞	_	6	acl	_	SpaceAfter=No
5	ラムイサマ	ramuysam	VERB	自動詞	_	6	amod	_	SpaceAfter=No
6	ウタレ	utar	NOUN	名詞	_	15	advcl	_	SpaceAfter=No
7	子	ne	AUX	デアル動詞	_	6	cop	_	SpaceAfter=No
8	ヤツカ	yakka	SCONJ	接続助詞	_	6	mark	_	SpaceAfter=No
9	子フ	nep	NOUN	名詞	_	10	obj	_	SpaceAfter=No
10	イトヱタ	etoyta	VERB	他動詞	_	11	acl	_	SpaceAfter=No
11	ウトロ	utur	NOUN	位置名詞	_	15	obl	_	SpaceAfter=No
12	タ	ta	ADP	格助詞	_	11	case	_	SpaceAfter=No
13	タン	tan	DET	連体詞	_	14	det	_	SpaceAfter=No
14	カンビ	kanpi	NOUN	名詞	_	15	obj	_	SpaceAfter=No
15	イウカラレ	eyukar-e	VERB	他動詞	_	34	advcl	_	SpaceAfter=No
16	ワ	wa	SCONJ	接続助詞	_	15	mark	_	SpaceAfter=No
17	ワン	wan	NUM	数詞	_	18	nummod	_	SpaceAfter=No
18	ベ	pe	NOUN	形式名詞	_	19	obj	_	SpaceAfter=No
19	イバカシ	epakasnu	VERB	他動詞	_	28	advcl	_	SpaceAfter=No
20	ワ	wa	SCONJ	接続助詞	_	19	mark	_	SpaceAfter=No
21	子	ne	AUX	助動詞	_	19	aux	_	SpaceAfter=No
22	ヤキ子	yakne	SCONJ	接続助詞	_	19	mark	_	SpaceAfter=No
23	シ子	sine	NUM	数詞	_	24	nummod	_	SpaceAfter=No
24	イタク	itak	NOUN	名詞	_	28	obj	_	SpaceAfter=No
25	ト	tu	NUM	数詞	_	26	nummod	_	SpaceAfter=No
26	イタク	itak	NOUN	名詞	_	24	conj	_	SpaceAfter=No
27	ヲシケ	uske	NOUN	形式名詞	_	28	iobj	_	SpaceAfter=No
28	ウヌ	unu	VERB	他動詞	_	32	advcl	_	SpaceAfter=No
29	ヤヱコヘヾケレ	eyaykopepka-re	VERB	他動詞	_	30	acl	_	SpaceAfter=No
30	クル	kur	NOUN	名詞	_	32	nsubj	_	SpaceAfter=No
31	カ	ka	ADP	副助詞	_	30	case	_	SpaceAfter=No
32	アン	an	VERB	自動詞	_	34	advcl	_	SpaceAfter=No
33-34	コトマン	_	_	_	_	_	_	_	SpaceAfter=No
33	コトㇺ	kotom	SCONJ	接続助詞	_	32	mark	_	SpaceAfter=No
34	アン	an	VERB	自動詞	_	0	root	_	SpaceAfter=No
35	ナ	na	PART	終助詞	_	34	discourse	_	SpaceAfter=No

