# text_ja = 有難う併し歩た方が宜しう御座ります
# text = Yairaigere, korka k'apkash wa k'arapa yakka pirika.
1	Yairaigere	iyayraykere	INTJ	間投詞	_	10	discourse	_	SpaceAfter=No
2	,	,	PUNCT	記号	_	1	punct	_	_
3	korka	korka	CCONJ	接続詞	_	10	cc	_	_
4	k'	k=	PART	人称接辞	_	5	nsubj	_	SpaceAfter=No
5	apkash	apkas	VERB	自動詞	_	8	advcl	_	_
6	wa	wa	SCONJ	接続助詞	_	5	mark	_	_
7	k'	k=	PART	人称接辞	_	8	nsubj	_	SpaceAfter=No
8	arapa	arpa	VERB	自動詞	_	10	advcl	_	_
9	yakka	yakka	SCONJ	接続助詞	_	8	mark	_	_
10	pirika	pirka	VERB	自動詞	_	0	root	_	SpaceAfter=No
11	.	.	PUNCT	記号	_	10	punct	_	_

