# text = 是恐日月照臨之天威也
1	是	是	PRON	n,代名詞,指示,*	PronType=Dem	2	nsubj	_	Gloss=this|SpaceAfter=No
2	恐	恐	VERB	v,動詞,行為,態度	_	0	root	_	Gloss=fear|SpaceAfter=No
3	日	日	NOUN	n,名詞,天象,天文	_	5	nsubj	_	Gloss=sun|SpaceAfter=No
4	月	月	NOUN	n,名詞,天象,天文	_	3	conj	_	Gloss=moon|SpaceAfter=No
5	照	照	VERB	v,動詞,行為,動作	_	9	acl	_	Gloss=shine|SpaceAfter=No
6	臨	臨	VERB	v,動詞,行為,動作	_	5	flat:vv	_	Gloss=overlook|SpaceAfter=No
7	之	之	SCONJ	p,助詞,接続,属格	_	5	case	_	Gloss='s|SpaceAfter=No
8	天	天	NOUN	n,名詞,制度,場	Case=Loc	9	nmod	_	Gloss=heaven|SpaceAfter=No
9	威	威	VERB	v,動詞,行為,態度	_	2	ccomp	_	Gloss=overawe|SpaceAfter=No
10	也	也	PART	p,助詞,句末,*	_	2	discourse:sp	_	Gloss=[final-particle]|SpaceAfter=No

