# text = 明治 オㇿ ワ アイヌ イタㇰ アウンコウㇰ ペ ネ クス アイヌ イタㇰ アニ ウコイタカㇱ エアイカㇷ゚ コㇿカ チェシㇼキラㇷ゚ ペ ポロンノ アン ヒタ アイヌウタリ エネ ヤイヌ ヒ シサㇺ イタㇰ アニ カ チヌイェ.
1	明治	Meiji	PROPN	固有名詞	_	2	nmod	_	_
2	オㇿ	or	NOUN	位置名詞	_	8	obl	_	_
3	ワ	wa	ADP	格助詞	_	2	case	_	_
4	アイヌ	aynu	NOUN	名詞	_	5	nmod	_	_
5	イタㇰ	itak	NOUN	名詞	_	8	obj	_	_
6	ア	a=	PART	人称接辞	_	8	nsubj	_	SpaceAfter=No
7	ウン	un=	PART	人称接辞	_	8	iobj	_	SpaceAfter=No
8	コウㇰ	kouk	VERB	他動詞	_	9	acl	_	_
9	ペ	pe	NOUN	形式名詞	_	15	advcl	_	_
10	ネ	ne	AUX	デアル動詞	_	9	cop	_	_
11	クス	kusu	SCONJ	接続助詞	_	9	mark	_	_
12	アイヌ	aynu	NOUN	名詞	_	13	nmod	_	_
13	イタㇰ	itak	NOUN	名詞	_	15	obl	_	_
14	アニ	ani	SCONJ	後置副詞	_	13	case	_	_
15-16	ウコイタカㇱ	_	_	_	_	_	_	_	_
15	ウコイタㇰ	ukoytak	VERB	自動詞	_	36	advcl	_	_
16	アㇱ	=as	PART	人称接辞	_	15	nsubj	_	_
17	エアイカㇷ゚	eaykap	AUX	助動詞	_	15	aux	_	_
18	コㇿカ	korka	CCONJ	接続詞	_	36	cc	_	_
19	チ	c=	PART	人称接辞	_	20	nsubj	_	SpaceAfter=No
20	ェシㇼキラㇷ゚	esirkirap	VERB	他動詞	_	21	acl	_	_
21	ペ	pe	NOUN	形式名詞	_	23	nsubj	_	_
22	ポロンノ	poronno	ADV	副詞	_	23	advmod	_	_
23	アン	an	VERB	自動詞	_	24	acl	_	_
24	ヒ	hi	NOUN	形式名詞	_	36	obl	_	SpaceAfter=No
25	タ	ta	ADP	格助詞	_	24	case	_	_
26	アイヌ	aynu	NOUN	名詞	_	27	compound	_	SpaceAfter=No
27	ウタリ	utari	NOUN	名詞	_	29	nsubj	_	_
28	エネ	ene	ADV	副詞	_	29	advmod	_	_
29	ヤイヌ	yaynu	VERB	自動詞	_	30	acl	_	_
30	ヒ	hi	NOUN	形式名詞	_	36	obj	_	_
31	シサㇺ	sisam	NOUN	名詞	_	32	nmod	_	_
32	イタㇰ	itak	NOUN	名詞	_	36	obl	_	_
33	アニ	ani	SCONJ	後置副詞	_	32	case	_	_
34	カ	ka	ADP	副助詞	_	32	case	_	_
35	チ	ci=	PART	人称接辞	_	36	nsubj	_	SpaceAfter=No
36	ヌイェ	nuye	VERB	他動詞	_	0	root	_	SpaceAfter=No
37	.	.	PUNCT	記号	_	36	punct	_	_

