# text = ウポポイ オルン エチシネウパ ワ エチエヤイコプンテㇰ ワ,『ゴールデンカムイ トゥラノ アㇷ゚カㇱアン ― 杉元佐一とアシㇼパが旅する世界 ―』セコㇿ ネ ワ,『ゴールデンカムイ』オッタ アヌイェ ㇷ゚ チュオエロㇱキ ワ エチヌカレ ルウェ ネ.
1	ウポポイ	Upopoy	PROPN	固有名詞	_	2	nmod	_	_
2-3	オルン	_	_	_	_	_	_	_	_
2	オㇿ	or	NOUN	位置名詞	_	5	obl	_	_
3	ウン	un	ADP	格助詞	_	2	case	_	_
4	エチ	eci=	PART	人称接辞	_	5	nsubj	_	SpaceAfter=No
5	シネウパ	sinewpa	VERB	自動詞	_	8	advcl	_	_
6	ワ	wa	SCONJ	接続助詞	_	5	mark	_	_
7	エチ	eci=	PART	人称接辞	_	8	nsubj	_	SpaceAfter=No
8	エヤイコプンテㇰ	eyaykopuntek	VERB	他動詞	_	45	advcl	_	_
9	ワ	wa	SCONJ	接続助詞	_	8	mark	_	SpaceAfter=No
10	,	,	PUNCT	記号	_	8	punct	_	SpaceAfter=No
11	『	"	PUNCT	記号	_	15	punct	_	SpaceAfter=No
12	ゴールデン	Golden	X	_	_	13	amod	_	SpaceAfter=No
13	カムイ	kamuy	NOUN	名詞	_	15	obl	_	_
14	トゥラノ	turano	SCONJ	後置副詞	_	13	case	_	_
15	アㇷ゚カㇱ	apkas	VERB	自動詞	_	25	advcl	_	SpaceAfter=No
16	アン	=an	PART	人称接辞	_	15	nsubj	_	_
17	―	―	PUNCT	記号	_	25	punct	_	_
18	杉元	スギモト	PROPN	名詞-固有名詞-人名-姓	_	23	nsubj	_	SpaceAfter=No
19	佐一	サイチ	PROPN	名詞-固有名詞-人名-名	_	18	flat	_	SpaceAfter=No
20	と	と	ADP	助詞-格助詞	_	18	case	_	SpaceAfter=No
21	アシㇼパ	Asirpa	PROPN	名詞-固有名詞-人名-名	_	18	conj	_	SpaceAfter=No
22	が	が	ADP	助詞-格助詞	_	21	case	_	SpaceAfter=No
23	旅	旅	VERB	名詞-普通名詞-サ変可能	_	25	acl	_	SpaceAfter=No
24	する	為る	AUX	動詞-非自立可能	_	23	aux	_	SpaceAfter=No
25	世界	世界	NOUN	名詞-普通名詞-一般	_	42	advcl	_	_
26	―	―	PUNCT	記号	_	25	punct	_	SpaceAfter=No
27	』	"	PUNCT	記号	_	25	punct	_	SpaceAfter=No
28	セコㇿ	sekor	SCONJ	接続詞	_	25	case	_	_
29	ネ	ne	AUX	デアル動詞	_	25	cop	_	_
30	ワ	wa	SCONJ	接続助詞	_	25	mark	_	SpaceAfter=No
31	,	,	PUNCT	記号	_	25	punct	_	SpaceAfter=No
32	『	"	PUNCT	記号	_	34	punct	_	SpaceAfter=No
33	ゴールデン	Golden	X	_	_	34	amod	_	SpaceAfter=No
34	カムイ	kamuy	NOUN	名詞	_	36	nmod	_	SpaceAfter=No
35	』	"	PUNCT	記号	_	34	punct	_	SpaceAfter=No
36	オッ	or	NOUN	位置名詞	_	39	obl	_	SpaceAfter=No
37	タ	ta	ADP	格助詞	_	36	case	_	_
38	ア	a=	PART	人称接辞	_	39	nsubj	_	SpaceAfter=No
39	ヌイェ	nuye	VERB	他動詞	_	40	acl	_	_
40	ㇷ゚	-p	PART	接尾辞	_	42	obj	_	_
41	チ	c=	PART	人称接辞	_	42	nsubj	_	SpaceAfter=No
42	ュオエロㇱキ	uwoeroski	VERB	他動詞	_	45	advcl	_	_
43	ワ	wa	SCONJ	接続助詞	_	42	mark	_	_
44	エチ	eci=	PART	人称接辞	_	45	nsubj	_	SpaceAfter=No
45	ヌカレ	nukare	VERB	他動詞	_	46	acl	_	_
46	ルウェ	ruwe	NOUN	形式名詞	_	0	root	_	_
47	ネ	ne	AUX	デアル動詞	_	46	cop	_	SpaceAfter=No
48	.	.	PUNCT	記号	_	46	punct	_	_

