# sent_id = SYOS_6_54-56
# text = Awa, ne inumpepecheppo, yaishinrit erampeutek wa ainune yaikar wa iki koran, Ne inumpepecheppo ene ruwe tashi anne.”
# text_ain = Awa, ne inumpepecheppo, yaishinrit
# text_ain = erampeutek wa ainune yaikar wa iki koran,
# text_ain = Ne inumpepecheppo ene ruwe tashi anne.”
# text_ja = ところが其の爐緣魚は、自分の素性が
# text_ja = わからないので、人にばけてうろついてゐる。
# text_ja = その爐緣魚がお前なのさ。」
1	Awa	awa	CCONJ	接続詞	_	15	cc	_	SpaceAfter=No
2	,	,	PUNCT	記号	_	1	punct	_	_
3	ne	ne	DET	連体詞	_	4	det	_	_
4	inumpepecheppo	inumpepe-ceppo	NOUN	名詞	_	7	nsubj	_	SpaceAfter=No
5	,	,	PUNCT	記号	_	4	punct	_	_
6	yaishinrit	yaysinrit	NOUN	名詞	_	7	obj	_	_
7	erampeutek	erampewtek	VERB	他動詞	_	15	advcl	_	_
8	wa	wa	SCONJ	接続助詞	_	7	mark	_	_
9	ainu	aynu	NOUN	名詞	_	11	obl	_	SpaceAfter=No
10	ne	ne	ADP	格助詞	_	9	case	_	_
11	yaikar	yaykar	VERB	自動詞	_	7	conj	_	_
12	wa	wa	SCONJ	接続助詞	_	11	mark	_	_
13	iki	iki	VERB	自動詞	_	7	conj	_	_
14	kor	kor	SCONJ	接続助詞	_	13	mark	_	SpaceAfter=No
15	an	an	VERB	自動詞	_	23	advcl	_	SpaceAfter=No
16	,	,	PUNCT	記号	_	15	punct	_	_
17	Ne	ne	DET	連体詞	_	18	det	_	_
18	inumpepecheppo	inumpepe-ceppo	NOUN	名詞	_	21	acl	_	_
19	e	e=	PART	人称接辞	_	18	nsubj	_	SpaceAfter=No
20	ne	ne	AUX	デアル動詞	_	18	cop	_	_
21	ruwe	ruwe	NOUN	形式名詞	_	23	nsubj	_	_
22	tashi	tasi	ADP	副助詞	_	21	case	_	_
23	an	an	VERB	自動詞	_	0	root	_	SpaceAfter=No
24	ne	ne	AUX	デアル動詞	_	23	cop	_	SpaceAfter=No
25	.	.	PUNCT	記号	_	23	punct	_	SpaceAfter=No
26	”	”	PUNCT	記号	_	23	punct	_	_

